source_id,status,type,title_or_source,authors_or_researchers,year_or_period,used_in,notes
ulrich-1984-window-view,verified,paper,View Through a Window May Influence Recovery from Surgery,Roger Ulrich,1984,"Article 1; Why Beauty Matters; Article 10",Verified in references.csv with DOI link; use as a narrow healthcare recovery claim.
kaplan-attention-restoration-theory,verified,theory,Attention Restoration Theory,Stephen Kaplan; Rachel Kaplan,1980s-1990s,"Article 1; Why Beauty Matters; Article 10",Verified in references.csv with Kaplan 1995 DOI; use for directed attention fatigue and restorative environment framing.
friston-free-energy-principle,verified,theory/paper,The Free Energy Principle,Karl Friston,2000s-2010s,"Article 1; Article 4; Article 7; Article 10",Verified in references.csv with Friston 2010 Nature Reviews Neuroscience; use as theoretical framing.
clark-surfing-uncertainty,verified,book,Surfing Uncertainty,Andy Clark,2016,"Article 1; Article 4; Article 10",Verified in references.csv with Oxford University Press DOI; use as a predictive-processing synthesis.
seth-being-you,verified,book,Being You,Anil Seth,2021,Article 1,Verified in references.csv with Anil Seth source page; use for accessible consciousness and controlled-hallucination framing.
zeki-inner-vision,verified,book,Inner Vision,Semir Zeki,1999,"Article 1; Why Beauty Matters; Article 10",Verified in references.csv with Oxford University Press link; use for neuroaesthetics foundation.
chatterjee-aesthetic-brain,verified,book,The Aesthetic Brain,Anjan Chatterjee,2013,"Article 1; Why Beauty Matters; Article 10",Verified in references.csv with Oxford University Press link; use for neuroaesthetics and aesthetic experience.
berson-2002-iprgc,verified,paper,Phototransduction by Retinal Ganglion Cells That Set the Circadian Clock,David Berson et al.,2002,Article 2,Verified in references.csv with Science DOI; use for intrinsic photosensitivity of retinal ganglion cells.
provencio-melanopsin,verified,paper,A Novel Human Opsin in the Inner Retina,Ignacio Provencio et al.,2000,Article 2,Verified in references.csv with Journal of Neuroscience DOI; use for human/mammalian melanopsin localization.
foster-circadian-neuroscience,verified,paper,"Regulation of Mammalian Circadian Behavior by Non-rod, Non-cone, Ocular Photoreceptors",Melanie Freedman; Robert Lucas; Russell Foster et al.,1999,Article 2,Verified in references.csv with Science DOI; use for non-rod non-cone photoentrainment evidence.
panda-circadian-timing,verified,paper,Melanopsin (Opn4) Requirement for Normal Light-Induced Circadian Phase Shifting,Satchidananda Panda et al.,2002,Article 2,Verified in references.csv with Science DOI; use for melanopsin and phase-shifting response to light.
