node_id,label,domain,sensory_dimensions,linked_systems,state_outcomes,public_tag_bridges,article_bridges,notes
environment,Environment,system,"light timing; brightness; contrast; spatial order; temperature; air quality","circadian rhythm; visual comfort; cognitive load; recovery biology","readiness; sleep support; calm; attentional steadiness; recovery","Light & Perception; Breath & Nervous System; Flow State","environmental-architecture; light-performance-variable; sensory-coherence; environmental-performance","The environmental layer treats space as an active part of state design."
light,Light,environment,"light timing; brightness; color temperature; contrast; glare control","circadian rhythm; visual comfort; melanopsin signaling; recovery biology","readiness; sleep support; recovery; attentional steadiness; calm","Light & Perception; Breath & Nervous System; Flow State","light-performance-variable; environmental-architecture; sensory-coherence; environmental-performance","Primary pathway should be light -> circadian rhythm -> arousal / recovery -> attention quality -> flow."
space,Space,environment,"spatial order; room density; visual complexity; affordances; layout","prediction; cognitive load; attention restoration; motor planning","ease; safety; presence; reduced friction","Light & Perception; Flow State; Breath & Nervous System","environmental-architecture; predictive-brain-yoga-studio; sensory-coherence; state-engineering","Space shapes how much prediction work the body has to do."
rhythm,Rhythm,time,"tempo; pulse; cadence; repetition; transition timing","entrainment; auditory-motor coupling; basal ganglia timing; prediction","movement fluency; synchrony; immersion; reduced effort","Rhythm & Entrainment; Music & Emotion; Flow State","rhythm-infrastructure; collective-flow; state-engineering; elite-athletes-yoga-teachers","Rhythm should be treated as temporal infrastructure, not entertainment."
sequence,Sequence,time,"class arc; progression; transitions; load and release; recovery timing","prediction; allostasis; cognitive load; learning","coherence; readiness; recovery; flow","Rhythm & Entrainment; Breath & Nervous System; Flow State","predictive-brain-yoga-studio; state-engineering; environmental-performance","Sequence is where sensory design becomes an experience arc."
breath,Breath,body,"breath cadence; exhale length; breath holds; nasal breathing; shared breath","autonomic regulation; interoception; vagal tone; allostasis","calm; readiness; recovery; body awareness","Breath & Nervous System; Flow State; Rhythm & Entrainment","predictive-brain-yoga-studio; state-engineering; measure-flow; elite-athletes-yoga-teachers","Breath is both a body signal and a pacing instrument."
interoception,Interoception,body,"internal sensation; heartbeat perception; muscular effort; fatigue signals","body prediction; autonomic regulation; affective state; recovery biology","self-regulation; presence; safety; resilience","Breath & Nervous System; Flow State","predictive-brain-yoga-studio; measure-flow; state-engineering","Interoception connects prediction, breath, recovery, and measurement."
sound,Sound,sound,"acoustic texture; volume; silence; voice tone; musical density","emotion; auditory attention; social attunement; memory","awe; motivation; release; shared attention","Music & Emotion; Rhythm & Entrainment; Flow State","rhythm-infrastructure; collective-flow; sensory-coherence; environmental-performance","Sound includes music, voice, silence, and room acoustics."
music,Music,sound,"tempo; harmony; tension; release; emotional contour","emotion; memory; auditory-motor coupling; reward","motivation; awe; immersion; collective feeling","Music & Emotion; Rhythm & Entrainment; Flow State","rhythm-infrastructure; collective-flow; environmental-performance","Music bridges timing science and emotional atmosphere."
attention,Attention,attention,"cue clarity; novelty; visual focus; instruction density; quiet eye","cognitive load; prediction; motor planning; attentional control","precision; ease; flow; presence","Flow State; Light & Perception; Breath & Nervous System","environmental-architecture; elite-athletes-yoga-teachers; measure-flow; predictive-brain-yoga-studio","Attention is an outcome of better sensory conditions, not only a command to focus."
prediction-load,Prediction Load,attention,"surprise; ambiguity; instruction load; visual complexity; timing uncertainty","predictive processing; cognitive load; motor prediction; active inference","ease; coherence; reduced friction; immersion","Flow State; Light & Perception; Rhythm & Entrainment","predictive-brain-yoga-studio; sensory-coherence; state-engineering; environmental-architecture","A core concept for explaining sensory coherence."
synchrony,Synchrony,social_field,"group rhythm; shared breath; collective timing; call and response","co-regulation; social prediction; entrainment; collective attention","collective flow; belonging; trust; intensity","Flow State; Rhythm & Entrainment; Music & Emotion","collective-flow; rhythm-infrastructure; elite-athletes-yoga-teachers; measure-flow","Synchrony is where personal state design becomes group state design."
teacher-presence,Teacher Presence,social_field,"voice tone; cue timing; silence; gaze; room attention","social prediction; co-regulation; attentional guidance; motor learning","trust; clarity; effortlessness; shared attention","Flow State; Breath & Nervous System; Music & Emotion","elite-athletes-yoga-teachers; predictive-brain-yoga-studio; state-engineering","Teacher presence is a sensory variable, not only a personality trait."
coherence,Sensory Coherence,system,"alignment of light; rhythm; sound; breath; space; sequence","prediction; cognitive load; autonomic regulation; synchrony","flow; calm; readiness; recovery; collective coherence","Light & Perception; Rhythm & Entrainment; Breath & Nervous System; Music & Emotion; Flow State","sensory-coherence; state-engineering; environmental-performance","The concept hub that explains why the map exists."
