timeline_id,year,date_label,researcher_or_group,event,source_id,topic,used_in
helmholtz-19c-unconscious-inference,1800s,19th century,Hermann von Helmholtz,Proposed unconscious inference as a way to explain perception as interpretation rather than passive recording.,helmholtz-unconscious-inference,predictive perception,Article 4
ulrich-1984-window-view,1984,1984,Roger Ulrich,Published the window-view recovery study that became a landmark source for environmental psychology and healthcare design.,ulrich-1984-window-view,environmental recovery,"Article 1; Why Beauty Matters; Article 10"
kaplan-art-1980s-1990s,1980s,1980s-1990s,Stephen Kaplan; Rachel Kaplan,Developed Attention Restoration Theory and the idea of soft fascination.,kaplan-attention-restoration-theory,attention restoration,"Article 1; Why Beauty Matters; Article 10"
csikszentmihalyi-flow-1990,1990,1990,Mihaly Csikszentmihalyi,Published Flow as a general framework for optimal experience.,csikszentmihalyi-flow,flow,"Article 7; Article 8; Article 11; Article 12"
vickers-quiet-eye-1990s,1990s,1990s onward,Joan Vickers,Developed Quiet Eye research connecting gaze control to expert performance.,vickers-quiet-eye,attention and performance,"Article 10; Article 11; Article 12"
zeki-inner-vision-1999,1999,1999,Semir Zeki,Published Inner Vision as a foundation for neuroaesthetics.,zeki-inner-vision,neuroaesthetics,"Article 1; Why Beauty Matters; Article 10"
berson-iprgc-2002,2002,2002,David Berson et al.,Reported intrinsically photosensitive retinal ganglion cells as a key discovery for non-visual light biology.,berson-2002-iprgc,light biology,Article 2
thaut-rhythm-music-brain-2005,2005,2005,Michael H. Thaut,"Published Rhythm Music and the Brain, a foundation for neurologic music therapy and rhythm-based movement rehabilitation.",thaut-rhythm-music-brain,rhythm and movement,Article 3
friston-free-energy-2000s,2000s,2000s-2010s,Karl Friston,Developed the Free Energy Principle and related predictive/active inference frameworks.,friston-free-energy-principle,predictive processing,"Article 1; Article 4; Article 5; Article 9; Article 12"
chatterjee-aesthetic-brain-2013,2013,2013,Anjan Chatterjee,"Published The Aesthetic Brain, linking aesthetics to perception, reward, meaning, and decision-making.",chatterjee-aesthetic-brain,neuroaesthetics,"Article 1; Why Beauty Matters; Article 10"
lucas-melanopsin-age-2014,2014,2014,Robert J. Lucas et al.,"Published Measuring and using light in the melanopsin age, a practical reference for light beyond vision.",lucas-2014-melanopsin-age,light measurement,Article 2
clark-surfing-uncertainty-2016,2016,2016,Andy Clark,"Published Surfing Uncertainty, a major synthesis of predictive processing.",clark-surfing-uncertainty,predictive processing,"Article 1; Article 4; Article 10"
seth-being-you-2021,2021,2021,Anil Seth,Published Being You and popularised predictive perception / controlled hallucination framing.,seth-being-you,consciousness and perception,"Article 1; Article 4"
pranjic-janzen-thaut-2024,2024,2024,Marija Pranjic; Thenille Braun Janzen; Michael Thaut et al.,Reviewed auditory-motor entrainment and synchronisation mechanisms across neuroimaging literature.,pranjic-janzen-thaut-2024-entrainment,rhythm and entrainment,"Article 3; Article 10; Article 12"
rosen-kounios-jazz-flow-2024,2024,2024,David S. Rosen; John Kounios et al.,Studied neural correlates of flow during jazz improvisation.,rosen-kounios-2024-jazz-flow,flow neuroscience,"Article 7; Article 8; Article 11; Article 12"
