slot,status,working_title,slug,primary_topic,notes_file,draft_file,source_count,next_step
1,idea,,,,,,,"Paste notes"
2,idea,,,,,,,"Paste notes"
3,idea,,,,,,,"Paste notes"
4,idea,,,,,,,"Paste notes"
5,idea,,,,,,,"Paste notes"
6,idea,,,,,,,"Paste notes"
7,idea,,,,,,,"Paste notes"
8,idea,,,,,,,"Paste notes"
9,idea,,,,,,,"Paste notes"
10,idea,,,,,,,"Paste notes"
11,idea,,,,,,,"Paste notes"
12,idea,,,,,,,"Paste notes"
13,idea,,,,,,,"Paste notes"
14,idea,,,,,,,"Paste notes"
15,idea,,,,,,,"Paste notes"
16,idea,,,,,,,"Paste notes"

