researcher_id,name,affiliation,field,known_for,key_source_ids,website_or_profile,notes
claude-bernard,Claude Bernard,,physiology; internal environment; regulation,milieu interieur and the internal conditions required for life,bernard-milieu-interieur,,Historical profile linked to 1878 lecture source page.
hermann-von-helmholtz,Hermann von Helmholtz,,physiology; perception; unconscious inference,perception as active interpretation rather than passive recording,helmholtz-unconscious-inference,,Historical profile linked to Treatise on Physiological Optics source page.
roger-ulrich,Roger Ulrich,,environmental psychology; healthcare design; stress recovery,restorative views and healthcare recovery outcomes,ulrich-1984-window-view,,Affiliation and profile URL need verification before public citation.
stephen-kaplan,Stephen Kaplan,,environmental psychology; attention restoration; nature cognition,Attention Restoration Theory and directed-attention recovery,kaplan-attention-restoration-theory,,Affiliation and profile URL need verification before public citation.
rachel-kaplan,Rachel Kaplan,,environmental psychology; attention restoration; restorative environments,Attention Restoration Theory and restorative environment research,kaplan-attention-restoration-theory,,Affiliation and profile URL need verification before public citation.
karl-friston,Karl Friston,,theoretical neuroscience; active inference; free energy principle,predictive regulation and the free energy principle,friston-free-energy-principle,,Affiliation and profile URL need verification before public citation.
andy-clark,Andy Clark,,philosophy of mind; cognitive science; predictive processing,predictive processing and embodied cognition,clark-surfing-uncertainty,,Affiliation and profile URL need verification before public citation.
anil-seth,Anil Seth,,cognitive neuroscience; consciousness; interoception,consciousness as controlled prediction and embodied perception,"seth-being-you; seth-2013-interoceptive-inference",,Affiliation and profile URL need verification before public citation.
bud-craig,Bud Craig,,neuroanatomy; interoception; insular cortex,interoception as bodily-state awareness and anterior-insula self-awareness,craig-2009-interoception-awareness,,Affiliation and profile URL need verification before public citation.
hugo-critchley,Hugo D. Critchley,,interoceptive neuroscience; emotion; psychiatry,interoception emotion and bodily awareness,garfinkel-2015-knowing-own-heart,,Affiliation and profile URL need verification before public citation.
sarah-garfinkel,Sarah N. Garfinkel,,cognitive neuroscience; interoception; emotion,interoceptive accuracy awareness and body-emotion coupling,garfinkel-2015-knowing-own-heart,,Affiliation and profile URL need verification before public citation.
semir-zeki,Semir Zeki,,neurobiology; visual neuroscience; neuroaesthetics,visual brain research and the foundations of neuroaesthetics,zeki-inner-vision,,Affiliation and profile URL need verification before public citation.
anjan-chatterjee,Anjan Chatterjee,,cognitive neuroscience; neuroaesthetics; aesthetics and perception,neuroaesthetics and aesthetic experience,chatterjee-aesthetic-brain,,Affiliation and profile URL need verification before public citation.
mihaly-csikszentmihalyi,Mihaly Csikszentmihalyi,,psychology; flow; optimal experience,flow as a reported state of deep absorption and optimal experience,csikszentmihalyi-flow,,Historical profile linked through optimal-experience source.
john-kounios,John Kounios,,cognitive neuroscience; creativity; insight; flow,creative insight and creative-flow neuroscience,"kounios-beeman-insight; rosen-kounios-2024-jazz-flow",,Affiliation and profile URL need verification before public citation.
mark-beeman,Mark Beeman,,cognitive neuroscience; creativity; language insight,creative insight and associative problem solving,"kounios-beeman-insight; bowden-beeman-2003-aha",,Affiliation and profile URL need verification before public citation.
david-rosen,David S. Rosen,,creative flow; music cognition,jazz improvisation and EEG flow,rosen-kounios-2024-jazz-flow,,Affiliation and profile URL need verification before public citation.
edward-bowden,Edward M. Bowden,,cognitive psychology; insight; problem solving,Aha experience and solution activation in insight tasks,bowden-beeman-2003-aha,,Affiliation and profile URL need verification before public citation.
joan-vickers,Joan Vickers,,sport psychology; gaze; expert performance,Quiet Eye research linking gaze control to expert performance,vickers-quiet-eye,,Affiliation and profile URL need verification before public citation.
james-gibson,James J. Gibson,,ecological psychology; visual perception; affordances,perception-action coupling and affordances,gibson-affordances,,Historical profile linked through Routledge classic edition source.
peter-sterling,Peter Sterling,,neuroscience; physiology; allostasis,predictive regulation and allostasis,sterling-allostasis,,Affiliation and profile URL need verification before public citation.
tim-gard,Tim Gard,,contemplative science; yoga; self-regulation,self-regulatory mechanisms of yoga,khalsa-yoga-self-regulation,,Affiliation and profile URL need verification before public citation.
david-vago,David R. Vago,,contemplative neuroscience; mindfulness; self-regulation,self-regulation and self-awareness mechanisms in contemplative practice,khalsa-yoga-self-regulation,,Affiliation and profile URL need verification before public citation.
john-krakauer,John W. Krakauer,,neuroscience; neurology; motor learning,motor learning adaptation skill and recovery,krakauer-motor-learning,,Affiliation and profile URL need verification before public citation.
adrian-haith,Adrian M. Haith,,motor control; motor learning; computational neuroscience,motor learning and sensorimotor control,krakauer-motor-learning,,Affiliation and profile URL need verification before public citation.
keith-davids,Keith Davids,,ecological dynamics; skill acquisition; sport science,constraints-led approaches to skill learning,davids-ecological-dynamics,,Affiliation and profile URL need verification before public citation.
ludovic-seifert,Ludovic Seifert,,ecological dynamics; sport performance; motor learning,ecological dynamics in sport performance and physical activity,davids-ecological-dynamics,,Affiliation and profile URL need verification before public citation.
dacher-keltner,Dacher Keltner,,emotion science; awe; prosocial behavior,awe small self and social emotion,"keltner-awe; piff-keltner-2015-awe-small-self",,Affiliation and profile URL need verification before public citation.
jonathan-haidt,Jonathan Haidt,,moral psychology; emotion; awe,moral spiritual and aesthetic dimensions of awe,keltner-awe,,Affiliation and profile URL need verification before public citation.
paul-piff,Paul K. Piff,,social psychology; awe; prosocial behavior,awe small self and prosocial behavior,piff-keltner-2015-awe-small-self,,Affiliation and profile URL need verification before public citation.
edwin-hutchins,Edwin Hutchins,,cognitive science; distributed cognition; HCI,cognition distributed across people tools representations and environments,hutchins-distributed-cognition,,Affiliation and profile URL need verification before public citation.
james-hollan,James Hollan,,human-computer interaction; distributed cognition,distributed cognition as a foundation for HCI,hutchins-distributed-cognition,,Affiliation and profile URL need verification before public citation.
david-kirsh,David Kirsh,,cognitive science; HCI; embodied cognition,distributed cognition and interaction with tools,hutchins-distributed-cognition,,Affiliation and profile URL need verification before public citation.
david-berson,David M. Berson,,neuroscience; retinal ganglion cells; circadian photoreception,intrinsically photosensitive retinal ganglion cells and circadian phototransduction,berson-2002-iprgc,,Affiliation and profile URL need verification before public citation.
