source_id,type,title,authors,year,journal_or_publisher,doi,url,topic,tags,used_in,short_summary,notes
ulrich-1984-window-view,paper,View Through a Window May Influence Recovery from Surgery,Roger S. Ulrich,1984,Science,10.1126/science.6143402,https://pubmed.ncbi.nlm.nih.gov/6143402/,Environmental architecture,environmental psychology; healthcare design; stress recovery,"Article 1; Why Beauty Matters; Article 10","Retrospective matched study of postsurgical recovery records comparing patients with tree views against patients facing a brick wall; useful as a landmark source for restorative views, but narrow enough that claims should stay specific to recovery context.",Use carefully: one hospital wing and a matched retrospective design.
kaplan-attention-restoration-theory,theory/paper,The Restorative Benefits of Nature: Toward an Integrative Framework,Stephen Kaplan,1995,Journal of Environmental Psychology,10.1016/0272-4944(95)90001-2,https://doi.org/10.1016/0272-4944(95)90001-2,Environmental architecture,attention restoration; nature; directed attention,"Article 1; Why Beauty Matters; Article 10","Introduces Attention Restoration Theory as a framework for how environments can help recover directed attention; strong conceptual source for soft fascination and attention fatigue, especially when discussing natural features in designed space.",Pair with empirical studies when making claims about outcomes.
friston-free-energy-principle,theory/paper,The Free-Energy Principle: A Unified Brain Theory?,Karl Friston,2010,Nature Reviews Neuroscience,10.1038/nrn2787,https://pubmed.ncbi.nlm.nih.gov/20068583/,Environmental architecture,predictive processing; active inference; perception-action,"Article 1; Article 4; Article 7; Article 10","Review article proposing free-energy minimisation as a unifying account of perception, action, learning, attention, and salience; useful for framing humans as active prediction systems coupled to their environments.",Use as theoretical framing rather than direct evidence that specific rooms produce specific states.
zeki-inner-vision,book,Inner Vision: An Exploration of Art and the Brain,Semir Zeki,1999,Oxford University Press,,https://global.oup.com/academic/product/inner-vision-9780198505198,Environmental architecture,neuroaesthetics; visual brain; art perception,"Article 1; Why Beauty Matters; Article 10","Foundational neuroaesthetics book connecting visual-brain specialization with aesthetic experience; useful for explaining why visual form, color, and composition can be treated as perceptual variables rather than decorative extras.",Book source; pair with papers for specific neural claims.
chatterjee-aesthetic-brain,book,The Aesthetic Brain: How We Evolved to Desire Beauty and Enjoy Art,Anjan Chatterjee,2013,Oxford University Press,,https://global.oup.com/academic/product/the-aesthetic-brain-9780199811809,Environmental architecture,neuroaesthetics; beauty; perception,"Article 1; Why Beauty Matters; Article 10","Synthesizes neuroscience, psychology, and evolutionary arguments about beauty and aesthetic response; useful for keeping beauty claims grounded in empirical aesthetics rather than taste language alone.",Book source; avoid treating aesthetic preference as universal without context.
berson-2002-iprgc,paper,Phototransduction by Retinal Ganglion Cells That Set the Circadian Clock,David M. Berson; Felice A. Dunn; Motoharu Takao,2002,Science,10.1126/science.1067262,https://pubmed.ncbi.nlm.nih.gov/11834835/,Biological lighting,ipRGC; circadian clock; non-image-forming vision,Article 2,"Showed that retinal ganglion cells innervating the suprachiasmatic nucleus can respond directly to light even when rod and cone input is blocked; this is a landmark source for biological lighting beyond image-forming vision.",Use for ipRGC discovery and circadian phototransduction claims.
provencio-melanopsin,paper,A Novel Human Opsin in the Inner Retina,Ignacio Provencio et al.,2000,The Journal of Neuroscience,10.1523/JNEUROSCI.20-02-00600.2000,https://pubmed.ncbi.nlm.nih.gov/10632589/,Biological lighting,melanopsin; inner retina; nonvisual photoreception,Article 2,"Identified melanopsin expression in human and mammalian inner retina, with localization suggesting a role in non-image-forming responses such as circadian regulation and melatonin suppression.",Pair with Provencio 1998 when discussing initial melanopsin discovery.
foster-circadian-neuroscience,paper,"Regulation of Mammalian Circadian Behavior by Non-rod, Non-cone, Ocular Photoreceptors",Melanie S. Freedman et al.,1999,Science,10.1126/science.284.5413.502,https://pubmed.ncbi.nlm.nih.gov/10205061/,Biological lighting,circadian entrainment; non-rod non-cone photoreceptors; Russell Foster,Article 2,"Demonstrated in mice that circadian photoentrainment can persist without rods and cones but is abolished by removing the eyes; useful for the claim that ocular light biology is not reducible to visual brightness.",Use as pre-ipRGC evidence for an additional ocular photoreceptor system.
panda-circadian-timing,paper,Melanopsin (Opn4) Requirement for Normal Light-Induced Circadian Phase Shifting,Satchidananda Panda et al.,2002,Science,10.1126/science.1076848,https://pubmed.ncbi.nlm.nih.gov/12481141/,Biological lighting,melanopsin; circadian phase shifting; light exposure,Article 2,"Showed that melanopsin contributes to normal circadian phase shifting responses to light; useful for separating strong circadian timing evidence from weaker claims about general mood or atmosphere.",Use for light-induced phase shifting, not broad metabolic claims.
cie-iprgc-standards,standard,CIE S 026/E:2018 CIE System for Metrology of Optical Radiation for ipRGC-Influenced Responses to Light,CIE,2018,International Commission on Illumination,10.25039/S026.2018,https://doi.org/10.25039/S026.2018,Biological lighting,lighting standards; melanopic measurement; ipRGC,Article 2,"Defines quantities and spectral sensitivity functions for describing optical radiation that stimulates the five photoreceptor classes relevant to ipRGC-influenced responses; important for translating biology into lighting measurement.",Standard does not predict specific health outcomes or prescribe application-level lighting recipes.
lucas-2014-melanopsin-age,paper,Measuring and Using Light in the Melanopsin Age,Robert J. Lucas et al.,2014,Trends in Neurosciences,10.1016/j.tins.2013.10.004,https://pubmed.ncbi.nlm.nih.gov/24287308/,Biological lighting,melanopsin; light measurement; nonvisual responses,Article 2,"Review and consensus-style guidance arguing that light should be specified in ways that account for melanopsin and other photoreceptor inputs, not only photopic lux; useful for design claims about measurement and specification.",Use as a bridge source between laboratory biology and applied lighting practice.
