note_id,status,concept,core_question,source_ids,related_articles,related_tags,next_action
note-environmental-architecture,linked,Window-view recovery effect,Ulrich 1984 found that postsurgical patients with tree views recovered faster and used fewer strong analgesics than patients facing a brick wall.,"ulrich-1984-window-view; kaplan-attention-restoration-theory; friston-free-energy-principle; zeki-inner-vision; chatterjee-aesthetic-brain","1; 6; 12","Light & Perception; Music & Emotion","Use Ulrich 1984 as the primary discovery and Kaplan ART, Friston, Zeki, and Chatterjee as supporting context. Keep claims specific to recovery, attention, prediction, and aesthetics rather than saying architecture universally improves health."
note-light-performance,linked,Nonvisual light pathway,ipRGC and melanopsin studies show that light signals circadian timing and physiology beyond image-forming vision.,"berson-2002-iprgc; provencio-melanopsin; foster-circadian-neuroscience; panda-circadian-timing; cie-iprgc-standards; lucas-2014-melanopsin-age","2; 6; 9; 12; The Next Performance Revolution Won't Happen Inside You","Light & Perception; Breath & Nervous System","Anchor this note in Berson 2002, Provencio 2000, Foster 1999, Panda 2002, CIE S 026 and Lucas 2014. Treat light as a measurable biological signal while keeping mood, atmosphere and performance claims context-specific."
note-rhythm-entrainment,linked,Rhythmic auditory stimulation for gait,Thaut and related rhythm studies show that external pulse can scaffold motor timing in neurological movement tasks.,"pranjic-janzen-thaut-2024-entrainment; thaut-rhythm-music-brain; thaut-1996-ras-parkinsons; thaut-2015-neurologic-music-therapy; large-snyder-neural-entrainment; nozaradan-2012-beat-meter","3; 6; 7; 8; 9; 10; 12; The Next Generation of Human Performance: Designing States Not Workouts; The Next Performance Revolution Won't Happen Inside You","Rhythm & Entrainment; Music & Emotion; Flow State","Use Thaut's rhythmic auditory stimulation work as the primary applied discovery and Pranjic 2024, Large and Snyder, and Nozaradan as mechanism/context. Avoid translating rehabilitation findings into universal claims about all music-led movement."
note-predictive-brain,linked,Predictive processing and active inference,Helmholtz Friston Clark Seth and Adams support the theory that perception and action are shaped by prediction rather than passive input.,"helmholtz-unconscious-inference; friston-free-energy-principle; clark-surfing-uncertainty; seth-being-you; seth-2013-interoceptive-inference; adams-2013-predictions-not-commands","4; 5; 6; 9; 10; 12","Breath & Nervous System; Light & Perception","Frame this as a theory lineage from Helmholtz to active inference. Use it to explain perception-action-regulation, but keep yoga-specific claims as an interpretive bridge until practice-level studies are added."
note-sensory-coherence,linked,Multisensory coherence under load,Multisensory integration and attention-load research shows that coherent timing and sensory alignment reduce avoidable processing conflict.,"friston-free-energy-principle; clark-surfing-uncertainty; kaplan-attention-restoration-theory; stein-stanford-2008-multisensory; sweller-1988-cognitive-load; lavie-2005-attention-load; craig-2009-interoception-awareness; garfinkel-2015-knowing-own-heart","6; 9; 11; 12","Light & Perception; Rhythm & Entrainment; Breath & Nervous System; Music & Emotion; Flow State","Anchor coherence in Stein and Stanford, Sweller, Lavie, Kaplan, Clark, Friston, Craig, Critchley and Garfinkel. Present studio coherence as a design hypothesis grounded in integration, prediction, interoception and load rather than as a directly validated intervention."
note-flow-state,linked,Flow as skilled absorption,Csikszentmihalyi and later EEG work support flow as task absorption shaped by skill challenge feedback expertise and reduced interference.,"csikszentmihalyi-flow; rosen-kounios-2024-jazz-flow; kounios-beeman-insight; pranjic-janzen-thaut-2024-entrainment; lavie-2005-attention-load","7; 8; 9; 10; 11; 12; The Next Generation of Human Performance: Designing States Not Workouts; The Next Performance Revolution Won't Happen Inside You","Flow State; Rhythm & Entrainment; Music & Emotion","Use Csikszentmihalyi as the foundational theory and Rosen Kounios 2024 as current neuroscience context. Keep flow probabilistic and task-specific, especially when discussing group movement or yoga classes."
note-creative-insight,linked,Insight before conscious report,Insight studies show that solutions can become partially active before conscious awareness and are shaped by preparation and reduced interference.,"kounios-beeman-insight; bowden-beeman-2003-aha; rosen-kounios-2024-jazz-flow; sweller-1988-cognitive-load","7; 8; 11","Flow State; Music & Emotion","Anchor this note in Bowden and Beeman 2003 plus Kounios and Beeman's review. Use it for preparation, unconscious activation and Aha language, while avoiding claims that insight can be engineered on demand."
note-state-engineering,linked,Affordances and predictive state design,Gibson Friston Sterling and distributed cognition research support designing environments as action-regulation systems rather than backdrops.,"khalsa-yoga-self-regulation; friston-free-energy-principle; gibson-affordances; sterling-allostasis; adams-2013-predictions-not-commands; lavie-2005-attention-load","9; 10; 11; 12; The Next Generation of Human Performance: Designing States Not Workouts; The Next Performance Revolution Won't Happen Inside You","Flow State; Breath & Nervous System; Light & Perception","Use Gibson's affordances, Friston and Adams on active inference, Sterling on allostasis, and Khalsa/Gard/Vago on yoga self-regulation. Present state engineering as a source-backed design hypothesis that still needs Sansara-specific outcome studies."
note-elite-teaching,linked,Quiet Eye and ecological skill learning,Quiet Eye motor-learning and ecological-dynamics research show that expertise depends on attention timing feedback constraints and adaptable practice.,"vickers-quiet-eye; krakauer-motor-learning; davids-ecological-dynamics; rosen-kounios-2024-jazz-flow; adams-2013-predictions-not-commands","10; 11; 12","Flow State; Rhythm & Entrainment; Breath & Nervous System","Use Vickers, Krakauer and Davids as the core evidence. Translate elite-performance findings into teaching hypotheses around gaze, timing, constraints, feedback, silence and recovery rather than claiming direct yoga outcomes."
note-flow-measurement,linked,Triangulating flow measurement,Flow measurement research supports combining self-report task context gaze physiology behavior and neural signals rather than relying on one score.,"csikszentmihalyi-flow; rosen-kounios-2024-jazz-flow; vickers-quiet-eye; lavie-2005-attention-load; khalsa-yoga-self-regulation","7; 8; 10; 11; 12","Flow State; Breath & Nervous System; Rhythm & Entrainment","Use Csikszentmihalyi, Rosen Kounios 2024, Quiet Eye, load theory and yoga self-regulation as triangulation sources. Any Sansara flow score should stay exploratory until validated against direct data."
note-breath-regulation,linked,Internal environment and allostasis,Bernard Sterling Seth and yoga self-regulation research support regulation as embodied prediction across physiology attention and breath.,"bernard-milieu-interieur; sterling-allostasis; khalsa-yoga-self-regulation; seth-2013-interoceptive-inference","4; 5; 9; 10; 11; 12; The Next Generation of Human Performance: Designing States Not Workouts; The Next Performance Revolution Won't Happen Inside You","Breath & Nervous System","Use Bernard and Sterling as the regulation lineage, Seth for interoceptive inference, and Khalsa/Gard/Vago for yoga self-regulation. Add breath-specific physiology and intervention trials before making strong claims about individual techniques."
note-awe-beauty,linked,Awe as vastness plus accommodation,Keltner Haidt Piff and neuroaesthetics sources distinguish awe beauty and restoration as related but different shifts in attention meaning and self-focus.,"zeki-inner-vision; chatterjee-aesthetic-brain; keltner-awe; piff-keltner-2015-awe-small-self; kaplan-attention-restoration-theory","1; 6; 12; Why Beauty Matters; The Neuroscience of Awe","Light & Perception; Music & Emotion; Flow State","Use Keltner and Haidt for awe theory, Piff et al. for small-self/prosocial findings, and Zeki/Chatterjee/Kaplan for beauty and restoration context. Do not promise awe from ambience alone."
note-invisible-tech,linked,Distributed cognition and invisible interfaces,Hutchins Hollan Kirsh Gibson and load-theory sources show that tools can carry cognition when interfaces reduce representational friction.,"hutchins-distributed-cognition; gibson-affordances; sweller-1988-cognitive-load; lavie-2005-attention-load; clark-surfing-uncertainty","6; 9; 11; 12; Can Technology Become Invisible?","Light & Perception; Music & Emotion","Use Hollan Hutchins Kirsh 2000 as the primary source, with Gibson, Sweller, Lavie and Clark as design context. Invisible technology should mean lower cognitive friction, not magical automation."
note-human-centered-design,linked,Human-centered design and cognitive usability,Don Norman's design work frames intuitive technology as the reduction of unnecessary cognitive effort through affordances mappings feedback and clear evaluation.,norman-design-everyday-things,Can Technology Become Invisible?,"Light & Perception","Use Norman for the design-side argument: invisible technology should make next actions legible and reduce gulfs of execution and evaluation."
note-interface-conventions,linked,Interface conventions as invisible intention,Apple interface design lineage frames technology as most successful when conventions become extensions of user intention rather than obstacles.,apple-human-interface-guidelines,Can Technology Become Invisible?,"Light & Perception","Use Apple HIG and Jobs-era interface philosophy as applied design lineage. Keep it separate from scientific evidence and treat it as product-design precedent."
note-neural-efficiency,linked,Neural efficiency under expertise,Neural efficiency research suggests experts can perform some complex tasks with less unnecessary neural recruitment but only under specific expertise and task-demand conditions.,neubauer-fink-2009-neural-efficiency,Can Technology Become Invisible?,"Flow State; Light & Perception","Use neural efficiency as a cautious analogy for invisible technology: better systems reduce unnecessary work, but efficiency depends on expertise, context and task difficulty."
