article_number,status,act,title,slug,public_url,previous,next,builds_on,continues_in,concept_threads,public_tags,tag_page_urls,source_markdown
1,readable_draft,"Act I - The Environment Shapes the Mind",The Neuroscience of Environmental Architecture,environmental-architecture,/research/designing-human-states/environmental-architecture,,/research/designing-human-states/light-performance-variable,,"/research/designing-human-states/light-performance-variable; /research/designing-human-states/rhythm-infrastructure; /research/designing-human-states/sensory-coherence; /research/designing-human-states/environmental-performance","environment; attention; prediction; neuroaesthetics; adaptive architecture","Light & Perception",/research/tags/light-perception,articles/readable/markdown/the-neuroscience-of-environmental-architecture-the-neuroscience-of-environmental-architecture.md
2,readable_draft,"Act I - The Environment Shapes the Mind",Can Light Become a Performance Variable?,light-performance-variable,/research/designing-human-states/light-performance-variable,/research/designing-human-states/environmental-architecture,/research/designing-human-states/rhythm-infrastructure,/research/designing-human-states/environmental-architecture,"/research/designing-human-states/sensory-coherence; /research/designing-human-states/state-engineering; /research/designing-human-states/environmental-performance","light; circadian biology; recovery; sleep; state engineering","Light & Perception; Breath & Nervous System","/research/tags/light-perception; /research/tags/breath-nervous-system",articles/readable/markdown/can-light-become-a-performance-variable.md
3,readable_draft,"Act I - The Environment Shapes the Mind","Why Rhythm Is Infrastructure, Not Entertainment?",rhythm-infrastructure,/research/designing-human-states/rhythm-infrastructure,/research/designing-human-states/light-performance-variable,/research/designing-human-states/predictive-brain-yoga-studio,/research/designing-human-states/environmental-architecture,"/research/designing-human-states/sensory-coherence; /research/designing-human-states/where-do-ideas-come-from; /research/designing-human-states/collective-flow; /research/designing-human-states/state-engineering; /research/designing-human-states/elite-athletes-yoga-teachers","rhythm; auditory-motor entrainment; timing; synchrony; temporal architecture","Rhythm & Entrainment; Music & Emotion","/research/tags/rhythm-entrainment; /research/tags/music-emotion",articles/readable/markdown/why-rhythm-is-one-of-the-brain-s-oldest-technologies.md
4,readable_draft,"Act II - The Brain as a Predictive Organism",The Predictive Brain Meets the Yoga Studio,predictive-brain-yoga-studio,/research/designing-human-states/predictive-brain-yoga-studio,/research/designing-human-states/rhythm-infrastructure,/research/designing-human-states/beyond-homeostasis,"/research/designing-human-states/environmental-architecture; /research/designing-human-states/rhythm-infrastructure","/research/designing-human-states/beyond-homeostasis; /research/designing-human-states/sensory-coherence; /research/designing-human-states/state-engineering; /research/designing-human-states/elite-athletes-yoga-teachers; /research/designing-human-states/measure-flow","predictive processing; active inference; interoception; motor prediction; sequencing","Breath & Nervous System",/research/tags/breath-nervous-system,articles/readable/markdown/the-predictive-brain-meets-the-yoga-studio.md
5,readable_draft,"Act II - The Brain as a Predictive Organism",Beyond Homeostasis,beyond-homeostasis,/research/designing-human-states/beyond-homeostasis,/research/designing-human-states/predictive-brain-yoga-studio,/research/designing-human-states/sensory-coherence,/research/designing-human-states/predictive-brain-yoga-studio,"/research/designing-human-states/sensory-coherence; /research/designing-human-states/state-engineering; /research/designing-human-states/measure-flow; /research/designing-human-states/environmental-performance","allostasis; interoception; predictive regulation; recovery; nervous system education","Breath & Nervous System",/research/tags/breath-nervous-system,articles/readable/markdown/beyond-homeostasis.md
6,readable_draft,"Act II - The Brain as a Predictive Organism",The Missing Variable in Modern Wellness: Sensory Coherence,sensory-coherence,/research/designing-human-states/sensory-coherence,/research/designing-human-states/beyond-homeostasis,/research/designing-human-states/where-do-ideas-come-from,"/research/designing-human-states/environmental-architecture; /research/designing-human-states/light-performance-variable; /research/designing-human-states/rhythm-infrastructure; /research/designing-human-states/predictive-brain-yoga-studio; /research/designing-human-states/beyond-homeostasis","/research/designing-human-states/where-do-ideas-come-from; /research/designing-human-states/collective-flow; /research/designing-human-states/state-engineering; /research/designing-human-states/measure-flow; /research/designing-human-states/environmental-performance","sensory coherence; environmental friction; cognitive load; prediction error; adaptive environments","Light & Perception; Breath & Nervous System","/research/tags/light-perception; /research/tags/breath-nervous-system",articles/readable/markdown/the-missing-variable-in-modern-wellness.md
7,readable_draft,"Act III - Flow and State Engineering",Where Do Ideas Come From?,where-do-ideas-come-from,/research/designing-human-states/where-do-ideas-come-from,/research/designing-human-states/sensory-coherence,/research/designing-human-states/collective-flow,"/research/designing-human-states/rhythm-infrastructure; /research/designing-human-states/sensory-coherence","/research/designing-human-states/collective-flow; /research/designing-human-states/state-engineering; /research/designing-human-states/measure-flow","creative insight; expertise; jazz improvisation; flow neuroscience; release of conscious control","Flow State; Music & Emotion","/research/tags/flow-state; /research/tags/music-emotion",articles/readable/markdown/where-do-ideas-come-from.md
8,readable_draft,"Act III - Flow and State Engineering",Engineering Collective Flow,collective-flow,/research/designing-human-states/collective-flow,/research/designing-human-states/where-do-ideas-come-from,/research/designing-human-states/state-engineering,"/research/designing-human-states/rhythm-infrastructure; /research/designing-human-states/sensory-coherence; /research/designing-human-states/where-do-ideas-come-from","/research/designing-human-states/state-engineering; /research/designing-human-states/measure-flow; /research/designing-human-states/environmental-performance","flow; group synchrony; improvisation; collective attention; ecological design","Flow State; Rhythm & Entrainment","/research/tags/flow-state; /research/tags/rhythm-entrainment",articles/readable/markdown/engineering-collective-flow.md
9,readable_draft,"Act III - Flow and State Engineering",From Exercise Prescription to State Engineering,state-engineering,/research/designing-human-states/state-engineering,/research/designing-human-states/collective-flow,/research/designing-human-states/elite-athletes-yoga-teachers,"/research/designing-human-states/environmental-architecture; /research/designing-human-states/light-performance-variable; /research/designing-human-states/rhythm-infrastructure; /research/designing-human-states/predictive-brain-yoga-studio; /research/designing-human-states/beyond-homeostasis; /research/designing-human-states/sensory-coherence; /research/designing-human-states/where-do-ideas-come-from; /research/designing-human-states/collective-flow","/research/designing-human-states/elite-athletes-yoga-teachers; /research/designing-human-states/measure-flow; /research/designing-human-states/environmental-performance","state engineering; affordances; distributed cognition; allostasis; environment-body interaction","Flow State",/research/tags/flow-state,articles/readable/markdown/from-exercise-prescription-to-state-engineering.md
10,readable_draft,"Act III - Flow and State Engineering",What Elite Athletes Can Teach Yoga Teachers,elite-athletes-yoga-teachers,/research/designing-human-states/elite-athletes-yoga-teachers,/research/designing-human-states/state-engineering,/research/designing-human-states/measure-flow,"/research/designing-human-states/predictive-brain-yoga-studio; /research/designing-human-states/rhythm-infrastructure; /research/designing-human-states/where-do-ideas-come-from; /research/designing-human-states/state-engineering","/research/designing-human-states/measure-flow; /research/designing-human-states/environmental-performance","quiet eye; attention; cueing; motor learning; ecological dynamics","Rhythm & Entrainment",/research/tags/rhythm-entrainment,articles/readable/markdown/what-elite-athletes-can-teach-yoga-teachers.md
11,readable_draft,"Act IV - The Future",Can We Measure Flow Like We Measure Heart Rate?,measure-flow,/research/designing-human-states/measure-flow,/research/designing-human-states/elite-athletes-yoga-teachers,/research/designing-human-states/environmental-performance,"/research/designing-human-states/where-do-ideas-come-from; /research/designing-human-states/collective-flow; /research/designing-human-states/state-engineering; /research/designing-human-states/elite-athletes-yoga-teachers",/research/designing-human-states/environmental-performance,"flow measurement; biomarkers; eye tracking; HRV; EDA; AI estimation; collective synchrony","Flow State; Breath & Nervous System","/research/tags/flow-state; /research/tags/breath-nervous-system",articles/readable/markdown/can-we-measure-flow-like-we-measure-heart-rate.md
12,readable_draft,"Act IV - The Future",The Next Generation of Human Performance Will Be Environmental,environmental-performance,/research/designing-human-states/environmental-performance,/research/designing-human-states/measure-flow,,"/research/designing-human-states/environmental-architecture; /research/designing-human-states/light-performance-variable; /research/designing-human-states/rhythm-infrastructure; /research/designing-human-states/predictive-brain-yoga-studio; /research/designing-human-states/beyond-homeostasis; /research/designing-human-states/sensory-coherence; /research/designing-human-states/where-do-ideas-come-from; /research/designing-human-states/collective-flow; /research/designing-human-states/state-engineering; /research/designing-human-states/elite-athletes-yoga-teachers; /research/designing-human-states/measure-flow",,"environmental performance; AI; adaptive spaces; human experience; future of performance science","Light & Perception",/research/tags/light-perception,articles/readable/markdown/the-next-generation-of-human-performance-will-be-environmental.md
