article_number,act,canonical_title,primary_question,core_message,major_topics,researchers_or_fields,current_markdown,needs_confirmation
1,I - Environment Shapes the Mind,The Neuroscience of Environmental Architecture,Can buildings change the way we think neurologically?,The built environment changes cognition and internal state,environmental psychology; architecture; stress recovery; attention restoration; predictive processing; neuroaesthetics; adaptive environments,Roger Ulrich; Stephen Kaplan; Rachel Kaplan; Karl Friston; Andy Clark; Semir Zeki; Anjan Chatterjee,articles/readable/markdown/the-neuroscience-of-environmental-architecture-the-neuroscience-of-environmental-architecture.md,no
2,I - Environment Shapes the Mind,Can Light Become a Performance Variable?,Why do elite sports spend millions on nutrition while almost ignoring lighting?,Lighting is a performance and recovery variable when treated biologically rather than decoratively,circadian biology; melanopsin; blue light; colour temperature; dynamic lighting; sleep; reaction time; recovery; mood,Russell Foster; Satchin Panda; circadian biology,articles/readable/markdown/can-light-become-a-performance-variable.md,no
3,I - Environment Shapes the Mind,"Why Rhythm Is Infrastructure, Not Entertainment?",Can rhythm organise movement and collective state rather than merely motivate?,Music and rhythm structure nervous-system timing and movement coordination,music therapy; neurologic music therapy; basal ganglia; SMA; cerebellum; auditory cortex; cadence; Parkinson's; stroke,Michael Thaut; neurologic music therapy; motor neuroscience,articles/readable/markdown/why-rhythm-is-one-of-the-brain-s-oldest-technologies.md,no
4,II - Brain as Predictive Organism,The Predictive Brain Meets the Yoga Studio,What if yoga is prediction training?,Yoga can be understood as training prediction across movement breath interoception and social cues,predictive processing; Bayesian brain; active inference; interoception; motor prediction; social prediction; sequencing; novelty; expectation,Helmholtz; Karl Friston; Andy Clark; Anil Seth,articles/readable/markdown/the-predictive-brain-meets-the-yoga-studio.md,no
5,II - Brain as Predictive Organism,The Missing Variable in Modern Wellness: Sensory Coherence,Why do some studios feel magical?,Coherent sensory environments reduce cognitive load and support adaptive state change,sensory coherence; lighting; music; temperature; smell; space; attention; teacher voice; transitions; timing; cognitive load,predictive processing; multisensory integration; attention research; environmental design,articles/readable/markdown/the-missing-variable-in-modern-wellness.md,no
6,III - State Engineering,Engineering Collective Flow,Can an entire room enter flow?,Flow is ecological and can emerge from group timing environment and shared attention,group flow; jazz; sports; dance; military; choirs; synchrony; improvisation; team coordination,Mihaly Csikszentmihalyi; Christian Swann; John Kounios; David Rosen; Keith Sawyer,articles/readable/markdown/engineering-flow-why-the-future-of-wellness-is-state-design.md,no
7,III - State Engineering,From Exercise Prescription to State Engineering,What comes after medicine exercise wearables and biohacking?,The movement studio becomes a designed state system,exercise prescription; fitness; wearables; biohacking; environmental engineering; flow; rhythm; architecture; light; breath; music,state engineering; human performance; environmental design,articles/readable/markdown/from-exercise-prescription-to-state-engineering.md,no
8,III - State Engineering,What Elite Athletes Can Teach Yoga Teachers,What can yoga teachers learn from elite performance science?,Great teaching designs attention prediction recovery rhythm and transitions,Quiet Eye; motor prediction; neural efficiency; ecological dynamics; cueing; silence; transitions; vision; rhythm; recovery; attention,Joan Vickers; John Krakauer; Christian Swann; Keith Davids,articles/readable/markdown/what-elite-athletes-can-teach-yoga-teachers.md,no
9,IV - Future,Can We Measure Flow Like We Measure Heart Rate?,Can flow immersion learning presence and synchrony be estimated without asking participants?,The next performance metrics may measure quality of experience rather than only output,flow measurement; HRV; EDA; EEG; fMRI; pupil dilation; eye tracking; wearables; AI; collective synchrony,Mihaly Csikszentmihalyi; John Kounios; Christian Swann; Joan Vickers,articles/readable/markdown/can-we-measure-flow-like-we-measure-heart-rate.md,no
10,IV - Future,The Next Generation of Human Performance Will Be Environmental,What is the next performance revolution?,The next frontier is environment design for thinking moving and connecting,architecture; rhythm; attention; lighting; spatial cognition; group synchrony; prediction; AI; performance companies,environmental performance; human performance; Sansara thesis,articles/readable/markdown/the-next-generation-of-human-performance-will-be-environmental.md,no
