source_docx,markdown_file,title,paragraph_count,word_count,link_count,first_headings
Beyond Homeostasis.docx,beyond-homeostasis.md,I actually think this is the article that makes the previous recovery piece obsolete.,194,1082,0,# Beyond Homeostasis | ## Why the brain is not trying to keep you balanced. It is trying to keep you alive. | ## Claude Bernard's Great Insight | ## The Problem | ## Peter Sterling's Revolution | ## The Predictive Body | ## Stress Becomes Information | ## Why Recovery Is Never Passive | ## The Cost Of Constant Prediction | ## Movement As Predictive Training | ## Beyond Balance | ## A Different Definition Of Health
Can Light Become a Performance Variable? .docx,can-light-become-a-performance-variable.md,Can Light Become a Performance Variable?,170,1151,0,# Can Light Become a Performance Variable? | ## We optimise nutrition to the gram. Why do we still treat light as decoration? | ## The Discovery That Changed Circadian Biology | ## Light Talks Directly to the Brain | ## Performance Begins Before Movement | ## Colour Is Not the Story | ## Dynamic Light Instead of Static Light | ## Beyond Visibility | ## Light as Part of a Larger System | ## From Lighting Design to State Design | ## Looking Forward | ### Further Reading
Can Technolgy Become Invisible?.docx,can-technolgy-become-invisible.md,Can Technology Become Invisible?,158,913,0,# Can Technology Become Invisible? | ## The highest form of technology is the one you stop noticing. | ## Every Tool Has a Cognitive Cost | ## The Invisible Interface | ## The Brain Prefers Fluency | ## Invisible Technology Is Not Passive Technology | ## Designing For Human Attention | ## The Best Technology Removes Decisions | ## Designing For Presence | ## The Studio That Disappears | ## Research Notes | ### Don Norman
Can We Measure Flow Like We Measure Heart Rate?.docx,can-we-measure-flow-like-we-measure-heart-rate.md,Can We Measure Flow Like We Measure Heart Rate?,206,1144,0,# Can We Measure Flow Like We Measure Heart Rate? | ## The next frontier in performance science may be measuring the quality of experience itself. | ## Flow Began As A Reported Experience | ## The Measurement Problem | ## The Search For Neural Markers | ## Why One Biomarker Is Unlikely | ## What We Might Measure Instead | ## The Quiet Eye | ## Flow In Groups | ## The Ethical Problem | ## From Quantified Body To Quantified Experience | ## The Future Studio
Engineering Flow - Why the Future of Wellness Is State Design .docx,engineering-flow-why-the-future-of-wellness-is-state-design.md,Engineering Flow: Why the Future of Wellness Is State Design,25,340,0,# Engineering Flow: Why the Future of Wellness Is State Design
From Exercise Prescription to State Engineering.docx,from-exercise-prescription-to-state-engineering.md,From Exercise Prescription to State Engineering,203,1165,0,# From Exercise Prescription to State Engineering | ## Why the next revolution in human performance will not optimise people. It will optimise interactions. | ## We Have Been Optimising Half of the System | ## Evolution Never Separated The Brain From The World | ## The Quiet Revolution Across Neuroscience | ## James Gibson Changed The Question | ## Prediction Completes The Picture | ## Intelligence Is Distributed | ## The Wrong Unit Of Optimisation | ## From Exercise Prescription To State Engineering | ## A New Scientific Discipline | ## Research Notes
The Missing Variable in Modern Wellness .docx,the-missing-variable-in-modern-wellness.md,The Missing Variable in Modern Wellness,265,1424,0,"# The Missing Variable in Modern Wellness | ## Sensory Coherence: Why the Nervous System Never Experiences the World One Sense at a Time | # The Reductionist Century | # The Orchestra Problem | # The Binding Problem | # The Brain Predicts Wholes, Not Parts | # Why Some Spaces Feel Wrong | # Nature Rarely Competes With Itself | # The Missing Sense | # Two Forms Of Coherence | # A New Design Principle | # Sensory Coherence"
The Neuroscience of Awe.docx,the-neuroscience-of-awe.md,The Neuroscience of Awe,167,1021,0,# The Neuroscience of Awe | ## Why some moments change us long after they have ended. | ## A Forgotten Scientific Question | ## Two Ingredients | ## The Small Self | ## Awe Is Not Escapism | ## Why Nature Works So Well | ## Movement Can Create Awe | ## Designing For Wonder | ## Beyond Wellness | ## Research Notes | ### Dacher Keltner
The Neuroscience of Environmental Architecture The Neuroscience of Environmental Architecture .docx,the-neuroscience-of-environmental-architecture-the-neuroscience-of-environmental-architecture.md,The Neuroscience of Environmental Architecture,154,1142,0,# The Neuroscience of Environmental Architecture | ## Can the spaces we build change the way we think? | ## The Brain Never Experiences the World Directly | ## Architecture Has Always Been Neuroscience—We Just Didn't Call It That | ## The Missing Variable in Performance Science | ## Beauty Is Functional | ## Designing for Prediction | ## Toward Adaptive Architecture | ## A New Discipline | ### Further Reading
"The Next Generation of Human Performance - Designing States, Not Workouts .docx",the-next-generation-of-human-performance-designing-states-not-workouts.md,"The Next Generation of Human Performance: Designing States, Not Workouts",90,710,0,
